,run_seed,oprm1_T_oprm1_T,oprm1_T_oprm1_B,oprm1_T_oprm1_Q,oprm1_B_oprm1_T,oprm1_B_oprm1_B,oprm1_B_oprm1_Q,oprm1_Q_oprm1_T,oprm1_Q_oprm1_B,oprm1_Q_oprm1_Q,exc_T_oprm1_T,exc_T_oprm1_B,exc_T_oprm1_Q,exc_B_oprm1_T,exc_B_oprm1_B,exc_B_oprm1_Q,exc_Q_oprm1_T,exc_Q_oprm1_B,exc_Q_oprm1_Q,inh_T_oprm1_T,inh_T_oprm1_B,inh_T_oprm1_Q,inh_B_oprm1_T,inh_B_oprm1_B,inh_B_oprm1_Q,inh_Q_oprm1_T,inh_Q_oprm1_B,inh_Q_oprm1_Q,oprm1_T_exc_T,oprm1_T_exc_B,oprm1_T_exc_Q,oprm1_B_exc_T,oprm1_B_exc_B,oprm1_B_exc_Q,oprm1_Q_exc_T,oprm1_Q_exc_B,oprm1_Q_exc_Q,oprm1_T_inh_T,oprm1_T_inh_B,oprm1_T_inh_Q,oprm1_B_inh_T,oprm1_B_inh_B,oprm1_B_inh_Q,oprm1_Q_inh_T,oprm1_Q_inh_B,oprm1_Q_inh_Q,exc_T_exc_T,exc_T_exc_B,exc_T_exc_Q,exc_B_exc_T,exc_B_exc_B,exc_B_exc_Q,exc_Q_exc_T,exc_Q_exc_B,exc_Q_exc_Q,exc_T_inh_T,exc_T_inh_B,exc_T_inh_Q,exc_B_inh_T,exc_B_inh_B,exc_B_inh_Q,exc_Q_inh_T,exc_Q_inh_B,exc_Q_inh_Q,inh_T_exc_T,inh_T_exc_B,inh_T_exc_Q,inh_B_exc_T,inh_B_exc_B,inh_B_exc_Q,inh_Q_exc_T,inh_Q_exc_B,inh_Q_exc_Q,inh_T_inh_T,inh_T_inh_B,inh_T_inh_Q,inh_B_inh_T,inh_B_inh_B,inh_B_inh_Q,inh_Q_inh_T,inh_Q_inh_B,inh_Q_inh_Q,I_opioid_shutdown,LD50,E_E_connectivity
0,1,37,1,27,2,0,2,31,6,21,43,7,34,5,0,1,39,6,27,2,0,4,4,0,2,13,2,26,49,1,46,5,0,4,31,2,35,3,4,31,2,1,0,1,2,24,46,2,44,1,0,1,31,2,33,1,2,21,0,1,0,2,0,37,0,0,0,2,0,0,36,0,31,0,0,2,0,0,1,2,4,31,5.400000000000001,3.6507111748049854,0.250891601618282
1,2,31,12,28,8,2,1,33,2,28,31,7,24,2,0,3,39,2,32,3,2,3,3,0,6,23,5,30,24,3,41,4,1,4,33,2,23,3,5,30,1,1,8,3,2,15,41,5,30,5,0,3,27,6,48,0,4,22,0,0,4,1,3,27,4,0,6,2,2,5,29,2,20,0,0,2,0,2,1,4,4,15,5.06,2.616640575771461,0.0549633397773132
2,3,43,1,45,3,1,2,37,5,37,41,4,24,6,0,5,37,3,38,5,1,5,5,0,0,24,4,27,32,13,32,4,0,3,23,3,33,2,4,37,0,1,4,4,3,31,19,3,35,5,1,9,26,7,27,2,3,28,1,0,7,3,4,26,0,0,6,5,1,3,18,4,28,0,1,3,0,0,2,0,3,27,5.366666666666667,3.854999208278984,0.1620360256343179
3,4,25,3,22,4,1,9,38,6,51,39,4,32,5,0,2,26,4,36,2,1,8,3,0,2,27,3,30,35,6,25,3,1,6,29,4,36,2,1,24,0,2,3,4,2,27,32,6,33,3,1,1,28,5,20,4,3,28,2,1,4,1,2,23,8,1,0,2,0,2,43,5,22,0,0,3,0,0,1,1,4,24,4.793333333333332,2.6270768705581475,0.15651756621634583
4,5,38,9,24,10,2,6,35,8,26,56,6,25,5,1,2,28,7,20,4,1,1,3,0,1,22,8,33,32,6,28,4,0,9,32,6,30,1,0,33,1,0,2,2,2,25,34,2,30,3,0,5,32,2,20,3,0,46,1,0,5,3,0,21,1,1,3,1,0,2,41,3,20,0,0,5,0,0,1,2,1,28,4.573333333333333,3.1785064698860466,0.05216477863722342
5,6,38,3,30,5,0,8,39,2,31,29,7,14,8,1,2,41,4,29,6,1,1,1,0,2,33,3,26,32,4,36,4,0,3,21,4,31,6,1,26,0,1,2,2,0,33,34,1,35,2,0,6,37,2,42,4,0,28,1,0,2,3,1,40,3,1,2,0,0,2,28,1,34,2,0,2,0,0,0,3,0,31,6.3400000000000025,3.553710028257469,0.18624921186049895
6,7,20,10,26,4,1,5,30,2,36,20,10,30,6,0,6,25,2,37,3,0,2,5,0,5,24,5,26,34,3,33,7,0,1,35,3,25,3,5,18,0,0,5,1,7,34,40,3,32,2,1,3,26,3,21,1,6,34,0,2,7,3,2,20,1,0,2,5,0,6,30,1,29,0,0,2,0,0,3,1,3,27,5.093333333333334,3.204973287006019,0.05570266898511382
7,8,19,1,30,5,1,3,30,1,47,42,9,30,8,0,11,16,1,47,1,0,5,5,0,7,29,5,36,21,7,19,3,0,2,35,9,32,1,7,27,0,0,4,2,5,39,37,3,22,7,3,4,30,4,26,1,5,24,0,1,8,0,5,20,0,0,1,5,1,3,30,3,30,0,0,0,0,0,1,2,3,26,4.433333333333334,2.7335699051054325,0.05162563412944679
8,9,39,3,29,5,0,6,32,4,49,37,2,37,4,0,2,25,3,33,1,0,2,3,2,5,28,2,38,36,2,27,8,0,5,42,3,32,2,2,21,2,0,4,0,1,31,51,3,24,7,1,3,30,1,33,2,3,33,0,0,0,0,1,22,1,0,1,4,0,3,29,1,26,0,0,3,0,0,3,1,3,23,5.16,2.1973313894546296,0.04832705272517382
9,10,37,3,44,4,0,3,27,3,36,32,3,21,8,0,7,32,1,23,4,0,0,4,0,3,24,2,29,35,6,30,2,1,5,40,3,25,1,2,31,0,0,4,0,2,32,30,4,26,2,0,5,20,5,33,0,3,33,0,0,2,2,5,34,1,0,1,3,1,2,36,3,23,0,0,1,0,0,3,0,2,30,4.24,2.890185921741533,0.2117676149389529
