,Peak Samples,Peak Times,Burst Width,Burst Amp,Onset Times,Offset Times,PBI,IBI,Frequency,Period,filename,Condition,run_seed,# Inh to Exc,# Inh to Inh,# Exc to Exc,# Exc to Inh,# Inh Cons,# Exc Cons,$G_{NaP}$ str
0,63896,3.1948000000000003,1.4048742648423742,3.2350493916959984,2.68885,4.09375,1.4312500000000004,2.8361000000000005,0.3163355687713527,3.1612,seed1-str-03_run_vars.pkl,Transient,1,122,40,622,132,162,754,-0.3
1,127120,6.356,1.341806556123638,3.2549666060106297,5.525,6.8668000000000005,1.4842000000000004,2.8260000000000005,0.4065123274863309,2.459950000000001,seed1-str-03_run_vars.pkl,Transient,1,122,40,622,132,162,754,-0.3
2,176319,8.81595,1.1264777029167192,3.818983352234704,8.351,9.47745,1.5226499999999987,2.6491499999999992,0.3755939078668145,2.66245,seed1-str-03_run_vars.pkl,Transient,1,122,40,622,132,162,754,-0.3
3,229568,11.4784,1.0734418599803628,3.857928667383668,11.00015,12.07355,1.4983500000000003,2.5718000000000014,0.3965342903027537,2.5218500000000006,seed1-str-03_run_vars.pkl,Transient,1,122,40,622,132,162,754,-0.3
4,280005,14.00025,1.0660353369218327,4.0698232475920335,13.5719,14.63795,1.608850000000002,2.674850000000001,0.36557724647217976,2.7353999999999985,seed1-str-03_run_vars.pkl,Transient,1,122,40,622,132,162,754,-0.3
5,334713,16.73565,1.0951781957323896,3.963910286353261,16.246750000000002,17.34195,1.400299999999998,2.4954499999999977,0.3919877699815763,2.5511000000000017,seed1-str-03_run_vars.pkl,Transient,1,122,40,622,132,162,754,-0.3
6,385735,19.28675,1.1210803854844766,3.821593176886687,18.74225,19.8633,1.4722999999999966,2.593399999999999,0.39309721294076017,2.5439000000000007,seed1-str-03_run_vars.pkl,Transient,1,122,40,622,132,162,754,-0.3
7,436613,21.83065,1.0825830170478818,3.8530185821845393,21.3356,22.4182,1.5137999999999998,2.596350000000001,0.3828557208216084,2.61195,seed1-str-03_run_vars.pkl,Transient,1,122,40,622,132,162,754,-0.3
8,488852,24.4426,1.0891012805085485,3.93702220290124,23.93195,25.02105,1.4783499999999992,2.567450000000001,0.3862718967881496,2.588849999999997,seed1-str-03_run_vars.pkl,Transient,1,122,40,622,132,162,754,-0.3
9,540629,27.03145,1.1315486971287756,3.9582875675650935,26.49945,27.631,1.4540499999999987,2.5855999999999995,0.3968647683301912,2.519750000000002,seed1-str-03_run_vars.pkl,Transient,1,122,40,622,132,162,754,-0.3
10,591024,29.5512,1.077574752114981,3.922069460439353,29.08505000000001,30.1626,1.550650000000001,2.6282500000000013,0.3782219784791699,2.6439499999999967,seed1-str-03_run_vars.pkl,Transient,1,122,40,622,132,162,754,-0.3
11,643903,32.19515,1.1148631729319518,3.9688203668729263,31.7133,32.82815,1.5943500000000057,2.7092000000000027,0.37089236703508577,2.6962000000000046,seed1-str-03_run_vars.pkl,Control,1,122,40,622,132,162,754,-0.3
12,697827,34.89135,1.0998177834507836,3.916597093190397,34.4225,35.5223,1.4477000000000046,2.5474999999999994,0.3841352155958904,2.603249999999996,seed1-str-03_run_vars.pkl,Control,1,122,40,622,132,162,754,-0.3
13,749892,37.4946,1.1389800956148888,3.900960912505639,36.96995,38.10895,1.4033000000000015,2.5422999999999973,0.3961337347488501,2.5244000000000058,seed1-str-03_run_vars.pkl,Control,1,122,40,622,132,162,754,-0.3
14,800380,40.01900000000001,1.1457721076419227,3.9307739771944417,39.51225,40.65805,1.5606500000000023,2.7064000000000017,0.3768181475619871,2.653799999999997,seed1-str-03_run_vars.pkl,Control,1,122,40,622,132,162,754,-0.3
15,853456,42.6728,1.078859188757732,3.9327116373281967,42.21870000000001,43.29755,1.4625500000000002,2.5413999999999963,0.3994487607102198,2.503450000000001,seed1-str-03_run_vars.pkl,Control,1,122,40,622,132,162,754,-0.3
16,903525,45.17625,1.0897341804601486,3.9285309417722165,44.7601,45.8498,1.4646499999999991,2.554400000000001,0.3713124036908459,2.693149999999996,seed1-str-03_run_vars.pkl,Control,1,122,40,622,132,162,754,-0.3
17,957388,47.8694,1.1651105882096862,3.9331437391193305,47.31445,48.47955,1.4512500000000017,2.6163500000000037,0.3876194352384828,2.5798500000000004,seed1-str-03_run_vars.pkl,Control,1,122,40,622,132,162,754,-0.3
18,1008985,50.44925,1.0926748353480886,3.889230850829016,49.93085,51.02350000000001,1.4508499999999955,2.543549999999996,0.3808508207335184,2.625700000000002,seed1-str-03_run_vars.pkl,Control,1,122,40,622,132,162,754,-0.3
19,1061499,53.07495,1.1319655188592268,3.8656768974253097,52.47435,53.60630000000001,1.5015999999999965,2.63355,0.3993450740785111,2.504100000000001,seed1-str-03_run_vars.pkl,Control,1,122,40,622,132,162,754,-0.3
20,1111581,55.57905,1.1192825135186897,3.8943038888177526,55.10795,56.2272,1.5634999999999977,2.6828000000000003,0.37777903704123456,2.64705,seed1-str-03_run_vars.pkl,Control,1,122,40,622,132,162,754,-0.3
21,1164522,58.2261,1.1001327529367293,3.997656325039962,57.79075,58.8909,5.2000500000000045,6.300200000000004,0.1536251699478443,6.509349999999998,seed1-str-03_run_vars.pkl,Control,1,122,40,622,132,162,754,-0.3
