,run_seed,num_exc,num_inh,num_e_e,num_e_i,num_i_e,num_i_i,ctrl_mean_period,ctrl_mean_amp,ctrl_period_irs,ctrl_amp_irs,num_e_e_prop,num_i_e_prop,damgo_mean_period,gnap01_mean_period,gnap03_mean_period,gnap05_mean_period,damgo_gnap01_mean_period,damgo_gnap03_mean_period,damgo_gnap05_mean_period,damgo_mean_amp,gnap01_mean_amp,gnap03_mean_amp,gnap05_mean_amp,damgo_gnap01_mean_amp,damgo_gnap03_mean_amp,damgo_gnap05_mean_amp,damgo_period_irs,gnap01_period_irs,gnap03_period_irs,gnap05_period_irs,damgo_gnap01_period_irs,damgo_gnap03_period_irs,damgo_gnap05_period_irs,damgo_amp_irs,gnap01_amp_irs,gnap03_amp_irs,gnap05_amp_irs,damgo_gnap01_amp_irs,damgo_gnap03_amp_irs,damgo_gnap05_amp_irs,num_ctrl_tonic_exc,num_ctrl_quiescent_exc,num_ctrl_burst_exc,num_ctrl_tonic_inh,num_ctrl_quiescent_inh,num_ctrl_burst_inh,num_damgo_tonic_exc,num_damgo_quiescent_exc,num_damgo_burst_exc,num_damgo_tonic_inh,num_damgo_quiescent_inh,num_damgo_burst_inh,num_gnap01_tonic_exc,num_gnap01_quiescent_exc,num_gnap01_burst_exc,num_gnap01_tonic_inh,num_gnap01_quiescent_inh,num_gnap01_burst_inh,num_damgo_gnap01_tonic_exc,num_damgo_gnap01_quiescent_exc,num_damgo_gnap01_burst_exc,num_damgo_gnap01_tonic_inh,num_damgo_gnap01_quiescent_inh,num_damgo_gnap01_burst_inh,num_gnap03_tonic_exc,num_gnap03_quiescent_exc,num_gnap03_burst_exc,num_gnap03_tonic_inh,num_gnap03_quiescent_inh,num_gnap03_burst_inh,num_damgo_gnap03_tonic_exc,num_damgo_gnap03_quiescent_exc,num_damgo_gnap03_burst_exc,num_damgo_gnap03_tonic_inh,num_damgo_gnap03_quiescent_inh,num_damgo_gnap03_burst_inh,num_gnap05_tonic_exc,num_gnap05_quiescent_exc,num_gnap05_burst_exc,num_gnap05_tonic_inh,num_gnap05_quiescent_inh,num_gnap05_burst_inh,num_damgo_gnap05_tonic_exc,num_damgo_gnap05_quiescent_exc,num_damgo_gnap05_burst_exc,num_damgo_gnap05_tonic_inh,num_damgo_gnap05_quiescent_inh,num_damgo_gnap05_burst_inh
0,1,754.0,162.0,622.0,132.0,122.0,40.0,3.1117409090909094,3.9208729591052585,0.22807283972643985,0.0071799014097119205,0.8418451400329492,0.7530864197530864,3.3206500000000005,2.7675250000000013,2.318842307692308,2.2351428571428573,3.17330625,2.5681227272727294,2.719962500000001,2.128259476893445,4.168853912166514,4.715035437546919,5.2999037199044725,2.6877474219941546,3.67952319991714,4.454387834687113,0.2028627341082898,0.16842665372114138,0.04466485867018402,0.1042273113909078,0.14706798032336044,0.0729838189455111,0.26952062090963946,0.3169157202034734,0.014478770096878176,0.01479197376847176,0.026362812764632627,0.2643945302294723,0.0447547612150644,0.08444394804940357,329.0,388.0,37.0,59.0,97.0,6.0,0.0,737.0,17.0,0.0,161.0,1.0,342.0,322.0,90.0,62.0,83.0,17.0,6.0,585.0,163.0,1.0,133.0,28.0,349.0,28.0,377.0,62.0,9.0,91.0,0.0,396.0,358.0,0.0,97.0,65.0,349.0,2.0,403.0,62.0,0.0,100.0,3.0,243.0,508.0,0.0,66.0,96.0
1,2,714.0,173.0,585.0,129.0,145.0,28.0,3.365985,2.9627038091946334,0.3251731554057928,0.15991097786596295,0.8278260869565217,0.838150289017341,3.9674500000000017,2.7287458333333348,2.4249846153846155,2.186275,3.8893,3.0833833333333334,3.129031818181818,2.40598476968931,3.1506808601523084,4.4517851780243065,5.7444598283200765,3.0239000992501377,4.111083042072527,4.837565445445003,0.5313669197640966,0.4139993763633374,0.1884470397940508,0.1153713519930476,0.09578725355966723,0.14641506838154458,0.2252487000672665,0.11867864899418702,0.1462966595782769,0.0831099251066792,0.09617798895754684,0.07222819802435021,0.08919221350764464,0.12790061176823084,286.0,371.0,57.0,68.0,88.0,17.0,1.0,690.0,23.0,0.0,167.0,6.0,309.0,292.0,113.0,73.0,65.0,35.0,10.0,581.0,123.0,3.0,142.0,28.0,329.0,40.0,345.0,80.0,12.0,81.0,0.0,375.0,339.0,0.0,89.0,84.0,337.0,2.0,375.0,82.0,2.0,89.0,13.0,202.0,499.0,7.0,49.0,117.0
2,3,767.0,172.0,607.0,160.0,136.0,36.0,3.018854545454545,4.157767893720801,0.16004417818783334,0.016900607101276246,0.7940691927512356,0.7906976744186046,3.1753611111111097,2.824483333333333,2.5467166666666685,2.3112076923076934,2.913033333333333,2.8293038461538456,2.4500500000000005,2.198608363981194,4.654054728263263,5.386474276813281,6.149879777066082,2.862468036356152,3.9349088194455786,4.878794188057112,0.06431361272888607,0.13673639877395966,0.08949482917229308,0.04891619343546712,0.021574340299251368,0.18504387000978093,0.18950010413820112,0.07223838196535233,0.019506321362508242,0.012079074446622037,0.027012688392091408,0.07184724470923125,0.036058864527706784,0.07218485945330301,288.0,423.0,56.0,57.0,101.0,14.0,4.0,754.0,9.0,0.0,171.0,1.0,334.0,344.0,89.0,67.0,81.0,24.0,8.0,620.0,139.0,0.0,140.0,32.0,340.0,51.0,376.0,70.0,13.0,89.0,0.0,435.0,332.0,0.0,103.0,69.0,340.0,0.0,427.0,70.0,0.0,102.0,2.0,276.0,489.0,1.0,68.0,103.0
3,4,714.0,192.0,581.0,133.0,159.0,33.0,3.1729,3.8451241371079967,0.1941882565511196,0.014843498849757518,0.8246869409660107,0.828125,3.8133,2.8782666666666663,2.4755038461538468,2.228042857142857,3.1283687500000035,2.7539555555555566,2.4808038461538464,2.227768857378055,4.160194695328337,4.79910441521058,5.113860288530622,2.20035246688501,3.2286743986297433,4.121389322102129,0.2059457910678002,0.1564692068803052,0.0231948187021078,0.07240367686514856,0.15203770128995886,0.10320036556374232,0.16888707788629687,0.7325878785808551,0.02436583663293216,0.01879924930073574,0.04206249199040996,0.30950884165033066,0.1283510509826527,0.07035097204589927,280.0,382.0,52.0,86.0,92.0,14.0,2.0,704.0,8.0,6.0,186.0,0.0,313.0,306.0,95.0,94.0,74.0,24.0,10.0,542.0,162.0,1.0,139.0,52.0,332.0,33.0,349.0,100.0,10.0,82.0,0.0,382.0,332.0,0.0,92.0,100.0,332.0,0.0,382.0,100.0,0.0,92.0,12.0,228.0,474.0,1.0,56.0,135.0
4,5,728.0,182.0,583.0,145.0,145.0,37.0,2.6617884615384613,3.363617464752401,0.12380969071936508,0.03346424409781569,0.8051282051282052,0.7967032967032966,2.919525,2.561838461538461,2.2901071428571425,2.0498399999999983,2.9473166666666657,2.7766500000000014,2.762366666666665,2.090788364726829,3.8365974820388455,4.5684226134401085,5.478239644239653,2.4970467921461257,3.3717160138046007,4.5483706299769855,0.20903581315899905,0.14312467150134686,0.18356864483354696,0.06621290705463577,0.10464092452964673,0.06887215068458984,0.18100473909579406,0.22433346940603896,0.04155240448304921,0.035850015682431825,0.03397915474099888,0.10724796079521344,0.04327042869496819,0.04119121741033515,320.0,357.0,51.0,74.0,94.0,14.0,0.0,712.0,16.0,0.0,179.0,3.0,348.0,297.0,83.0,81.0,78.0,23.0,0.0,579.0,149.0,0.0,146.0,36.0,359.0,24.0,345.0,85.0,12.0,85.0,0.0,366.0,362.0,0.0,98.0,84.0,361.0,3.0,364.0,86.0,1.0,95.0,20.0,225.0,483.0,5.0,63.0,114.0
5,6,735.0,182.0,585.0,150.0,144.0,38.0,2.9361181818181823,3.9462896641684817,0.13099969192233402,0.024971140714256573,0.8041237113402062,0.7912087912087912,3.26305,2.825641666666668,2.3154499999999985,2.328192307692308,2.9811944444444434,2.645904999999999,2.993007692307692,2.4263120068832484,4.413043060990226,4.715526412781603,5.968549267814287,2.4495089938816346,3.4376659592925303,4.376933202734604,0.05091804041317409,0.12448701899091726,0.054601850675894535,0.05295376878611639,0.055691437842299976,0.03763871797548552,0.39198643663316296,0.2705440929627409,0.015635893616244057,0.07985399812585771,0.029507736508828337,0.05334359830133047,0.04402747396786087,0.09126884859404563,306.0,398.0,31.0,76.0,100.0,6.0,0.0,730.0,5.0,0.0,179.0,3.0,319.0,354.0,62.0,79.0,87.0,16.0,5.0,564.0,166.0,0.0,144.0,38.0,329.0,48.0,358.0,81.0,8.0,93.0,0.0,403.0,332.0,0.0,101.0,81.0,334.0,0.0,401.0,82.0,0.0,100.0,12.0,271.0,452.0,8.0,67.0,107.0
6,7,690.0,180.0,542.0,148.0,144.0,36.0,2.73485,3.0439286903224985,0.17988769805116425,0.043913306692254614,0.7826887661141805,0.8,3.752135714285714,2.5128115384615386,2.1406733333333343,1.9731187500000007,2.8275399999999986,2.57174,2.6455416666666665,1.9203125195685584,3.414724872316526,4.415062895051282,5.216873419810014,2.4862382247139667,3.679338451597346,4.331762850606517,0.1336446386418156,0.15404531048746425,0.10684705897356153,0.0635317798486359,0.11497642172777713,0.1646261327845676,0.2524318960190197,0.14406267065469353,0.024104884002629487,0.030692209581742458,0.049518960771718634,0.10266169397796507,0.1518597143566818,0.0921438904189113,257.0,373.0,60.0,69.0,102.0,9.0,0.0,684.0,6.0,0.0,180.0,0.0,292.0,308.0,90.0,75.0,85.0,20.0,7.0,561.0,122.0,2.0,148.0,30.0,301.0,26.0,363.0,75.0,10.0,95.0,0.0,395.0,295.0,0.0,106.0,74.0,301.0,0.0,389.0,75.0,0.0,105.0,9.0,239.0,442.0,0.0,68.0,112.0
7,8,714.0,193.0,565.0,149.0,161.0,32.0,2.4420346153846157,2.9619487334300896,0.4742446676780147,0.2353380334834082,0.8058925476603119,0.8341968911917098,3.4907944444444454,2.974036363636365,1.5050159090909097,1.5213525000000003,3.7012142857142862,2.575572727272727,2.3375875,2.474126273449852,3.7339826860834022,4.568611534257082,6.2048980541760805,2.541733108668261,3.7234660499521137,5.294560439115439,0.19552166003142746,0.6763261491534711,0.5865329940086975,0.4851545182213426,0.24575648297467456,0.12059788725594656,0.15957435375688844,0.3974617883902504,0.13037038023159167,0.22921595767467026,0.11509260417544627,0.07678478183526986,0.11217798201699376,0.13898954261549332,257.0,395.0,62.0,72.0,109.0,12.0,8.0,692.0,14.0,0.0,191.0,2.0,286.0,330.0,98.0,79.0,82.0,32.0,6.0,572.0,136.0,1.0,157.0,35.0,303.0,38.0,373.0,81.0,8.0,104.0,1.0,413.0,300.0,0.0,109.0,84.0,304.0,0.0,410.0,81.0,0.0,112.0,10.0,244.0,460.0,3.0,54.0,136.0
8,9,742.0,179.0,618.0,124.0,146.0,33.0,2.866376923076924,3.6972709731976825,0.21900613568917604,0.0419131421131167,0.8341880341880342,0.8156424581005587,3.0451000000000006,2.660745833333332,2.2673642857142857,2.137566666666667,2.511340000000001,2.097415384615385,2.3876785714285718,2.0030073240329034,4.131458449012666,5.083980042798457,6.411571088545141,2.6204216963426665,3.6471266925653856,4.582624270735127,0.16697517947368906,0.1853175155247059,0.0971011084875139,0.10196681021746674,0.13554224672893944,0.23935454858376404,0.3466359824869474,0.17062634926173958,0.03028221688655407,0.03522036460920105,0.04990945882176293,0.10416421762360573,0.06498935288294583,0.16075430862721204,322.0,391.0,29.0,67.0,104.0,8.0,4.0,735.0,3.0,0.0,179.0,0.0,339.0,327.0,76.0,72.0,90.0,17.0,0.0,600.0,142.0,0.0,143.0,36.0,344.0,34.0,364.0,73.0,12.0,94.0,0.0,414.0,328.0,0.0,107.0,72.0,344.0,0.0,398.0,73.0,0.0,106.0,2.0,239.0,501.0,3.0,69.0,107.0
9,10,707.0,172.0,556.0,151.0,136.0,36.0,3.1385318181818187,2.7135560019378144,0.2319636658730021,0.12096332021130808,0.7713754646840149,0.7906976744186046,5.613129999999997,3.0937181818181823,2.3656384615384614,2.1322899999999985,3.5408571428571434,3.0130111111111098,2.7948208333333326,1.839395376024244,3.5224453229699098,4.773705370907956,6.294951284115384,2.38354890449832,4.039831104026261,4.9383333081969205,0.15044685898201002,0.2247359659619854,0.2098724356246168,0.17917735911429158,0.5689133022689907,0.40034966284757534,0.3291701663629865,0.21210211398844928,0.07173728703770019,0.18891374259811064,0.08142760430941617,0.09071203347377874,0.2337896097554545,0.12792174888109473,272.0,394.0,41.0,72.0,92.0,8.0,2.0,703.0,2.0,0.0,172.0,0.0,284.0,314.0,109.0,75.0,70.0,27.0,2.0,591.0,114.0,3.0,144.0,25.0,313.0,28.0,366.0,80.0,4.0,88.0,0.0,399.0,308.0,0.0,92.0,80.0,313.0,3.0,391.0,80.0,1.0,91.0,5.0,212.0,490.0,0.0,48.0,124.0
10,11,725.0,195.0,590.0,135.0,169.0,26.0,2.9950666666666663,3.40468638729082,0.2327129086456197,0.01866420913824698,0.8282647584973166,0.8666666666666667,2.8842318181818185,2.528669230769232,2.316914285714286,2.0221133333333317,2.7500550000000006,2.462972727272728,2.632445833333333,2.213180042334056,3.6233871161562266,4.165233096714262,5.419505410429382,2.0522850278460507,3.1832798561916573,4.147177093365672,0.2511221829450622,0.1505926257625201,0.1543474321509924,0.06465060542253981,0.1652967551217624,0.1994330345734632,0.22471751335225035,0.4216049179730606,0.0274960716379747,0.04208423674537053,0.052722540251610564,0.11003121451876016,0.08786793115424499,0.07941026331695769,318.0,377.0,30.0,79.0,104.0,12.0,0.0,715.0,10.0,0.0,193.0,2.0,342.0,318.0,65.0,88.0,89.0,18.0,0.0,550.0,175.0,0.0,156.0,39.0,347.0,58.0,320.0,91.0,10.0,94.0,0.0,380.0,345.0,0.0,106.0,89.0,348.0,0.0,377.0,91.0,0.0,104.0,23.0,251.0,451.0,0.0,71.0,124.0
